Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP1,,606941.372,4865275.953,1863.661,162,-115.66764261,43.93283646,1863.661,0.560,0.642,1.001,0.852,2.800,m,SINGLE,2023-02-09 12:41:54.0 UTC-07:00,2023-02-09 12:41:55.0 UTC-07:00,6,2.6,,,,,,,,WGS 84 / UTM zone 11N
SDP2,,606941.918,4865276.879,1864.993,158,-115.66763562,43.93284471,1864.993,0.405,0.332,0.653,0.524,2.800,m,SINGLE,2023-02-09 12:42:20.8 UTC-07:00,2023-02-09 12:42:21.8 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP3,,606942.579,4865279.038,1860.096,157,-115.66762695,43.93286405,1860.096,0.446,0.264,0.707,0.519,2.800,m,SINGLE,2023-02-09 12:42:42.2 UTC-07:00,2023-02-09 12:42:43.2 UTC-07:00,6,1.8,,,,,,,,WGS 84 / UTM zone 11N
SDP4,,606947.111,4865278.494,1858.620,157,-115.66757062,43.93285850,1858.620,0.465,0.430,0.797,0.634,2.800,m,SINGLE,2023-02-09 12:43:01.4 UTC-07:00,2023-02-09 12:43:02.4 UTC-07:00,6,1.9,,,,,,,,WGS 84 / UTM zone 11N
SDP5,,606947.599,4865282.352,1853.751,153,-115.66756376,43.93289316,1853.751,0.235,0.171,0.484,0.291,2.800,m,SINGLE,2023-02-09 12:43:25.4 UTC-07:00,2023-02-09 12:43:26.4 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP6,,606947.467,4865280.982,1848.170,163 radar target 1,-115.66756568,43.93288084,1848.170,0.290,0.262,0.544,0.391,2.800,m,SINGLE,2023-02-09 12:43:51.0 UTC-07:00,2023-02-09 12:43:52.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP7,,606945.940,4865283.184,1856.720,176,-115.66758426,43.93290089,1856.720,0.220,0.161,0.463,0.273,2.800,m,SINGLE,2023-02-09 12:44:16.8 UTC-07:00,2023-02-09 12:44:17.8 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP8,,606946.290,4865285.376,1860.093,154,-115.66757946,43.93292056,1860.093,0.180,0.185,0.401,0.258,2.800,m,SINGLE,2023-02-09 12:44:42.2 UTC-07:00,2023-02-09 12:44:43.2 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP9,,606946.573,4865288.705,1857.244,169,-115.66757526,43.93295049,1857.244,0.194,0.193,0.472,0.274,2.800,m,SINGLE,2023-02-09 12:44:59.2 UTC-07:00,2023-02-09 12:45:00.2 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP10,,606944.646,4865288.549,1857.964,160,-115.66759930,43.93294936,1857.964,0.208,0.181,0.460,0.276,2.800,m,SINGLE,2023-02-09 12:45:18.0 UTC-07:00,2023-02-09 12:45:19.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
