Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP1,,638760.598,4795572.099,1634.530,71 first radar target #4,-115.28925410,43.30018905,1634.530,0.170,0.152,0.379,0.228,1.800,m,SINGLE,2023-02-15 15:46:54.6 UTC-07:00,2023-02-15 15:46:59.6 UTC-07:00,26,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP2,,638759.955,4795568.407,1633.864,65,-115.28926296,43.30015593,1633.864,0.151,0.151,0.340,0.214,1.800,m,SINGLE,2023-02-15 15:47:23.4 UTC-07:00,2023-02-15 15:47:24.4 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP3,,638760.046,4795563.866,1633.420,65,-115.28926298,43.30011505,1633.420,0.161,0.160,0.375,0.227,1.800,m,SINGLE,2023-02-15 15:47:37.4 UTC-07:00,2023-02-15 15:47:38.4 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP4,,638760.061,4795559.970,1632.850,65,-115.28926378,43.30007997,1632.850,0.142,0.160,0.360,0.214,1.800,m,SINGLE,2023-02-15 15:47:52.6 UTC-07:00,2023-02-15 15:47:53.6 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP5,,638759.926,4795556.753,1632.564,65,-115.28926625,43.30005104,1632.564,0.193,0.164,0.398,0.254,1.800,m,SINGLE,2023-02-15 15:48:08.4 UTC-07:00,2023-02-15 15:48:09.4 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP6,,638759.909,4795552.650,1632.672,72,-115.28926750,43.30001412,1632.672,0.159,0.140,0.374,0.212,1.800,m,SINGLE,2023-02-15 15:48:25.6 UTC-07:00,2023-02-15 15:48:26.6 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP7,,638759.990,4795549.476,1633.022,73,-115.28926731,43.29998553,1633.022,0.151,0.131,0.360,0.200,1.800,m,SINGLE,2023-02-15 15:48:40.0 UTC-07:00,2023-02-15 15:48:41.0 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP8,,638759.862,4795545.932,1633.112,69,-115.28926977,43.29995366,1633.112,0.152,0.142,0.380,0.208,1.800,m,SINGLE,2023-02-15 15:48:55.2 UTC-07:00,2023-02-15 15:48:56.2 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP9,,638759.774,4795543.489,1633.035,45,-115.28927148,43.29993169,1633.035,0.172,0.150,0.369,0.228,1.800,m,SINGLE,2023-02-15 15:49:12.2 UTC-07:00,2023-02-15 15:49:13.2 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP10,,638759.736,4795541.379,1632.953,65,-115.28927248,43.29991271,1632.953,0.171,0.153,0.380,0.229,1.800,m,SINGLE,2023-02-15 15:49:27.4 UTC-07:00,2023-02-15 15:49:28.4 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP11,,638759.694,4795539.320,1633.033,64,-115.28927352,43.29989418,1633.033,0.165,0.155,0.375,0.226,1.800,m,SINGLE,2023-02-15 15:49:51.2 UTC-07:00,2023-02-15 15:49:52.2 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP12,,638759.504,4795536.565,1632.640,64,-115.28927654,43.29986941,1632.640,0.171,0.163,0.391,0.236,1.800,m,SINGLE,2023-02-15 15:50:02.4 UTC-07:00,2023-02-15 15:50:03.4 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP13,,638759.208,4795533.079,1632.319,63,-115.28928107,43.29983809,1632.319,0.169,0.151,0.380,0.227,1.800,m,SINGLE,2023-02-15 15:50:16.0 UTC-07:00,2023-02-15 15:50:17.0 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP14,,638759.287,4795530.485,1631.940,64,-115.28928076,43.29981474,1631.940,0.170,0.150,0.390,0.227,1.800,m,SINGLE,2023-02-15 15:50:31.2 UTC-07:00,2023-02-15 15:50:32.2 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
