Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SD_5,,606951.111,4865274.631,1851.100,1.86,-115.66752156,43.93282314,1851.100,0.093,0.081,0.300,0.124,2.134,m,SINGLE,2023-04-05 16:52:01.1 UTC-06:00,2023-04-05 16:52:03.1 UTC-06:00,21,1.9,,,,,,,,WGS 84 / UTM zone 11N
SD_1,,606953.103,4865279.077,1851.807,2.65,-115.66749587,43.93286287,1851.807,0.093,0.080,0.318,0.123,2.134,m,SINGLE,2023-04-05 16:54:54.1 UTC-06:00,2023-04-05 16:54:56.1 UTC-06:00,21,2.0,,,,,,,,WGS 84 / UTM zone 11N
SD_2,,606953.986,4865281.824,1851.765,2.64 (1st target),-115.66748431,43.93288747,1851.765,0.100,0.083,0.321,0.130,2.134,m,SINGLE,2023-04-05 16:55:51.4 UTC-06:00,2023-04-05 16:55:53.4 UTC-06:00,21,2.0,,,,,,,,WGS 84 / UTM zone 11N
SD_3,,606951.147,4865284.370,1851.576,2.65,-115.66751916,43.93291080,1851.576,0.090,0.078,0.311,0.119,2.134,m,SINGLE,2023-04-05 16:56:17.3 UTC-06:00,2023-04-05 16:56:19.3 UTC-06:00,21,2.0,,,,,,,,WGS 84 / UTM zone 11N
SD_4,,606948.547,4865286.192,1851.298,2.68,-115.66755118,43.93292758,1851.298,0.096,0.080,0.313,0.125,2.134,m,SINGLE,2023-04-05 16:56:48.4 UTC-06:00,2023-04-05 16:56:50.4 UTC-06:00,21,2.0,,,,,,,,WGS 84 / UTM zone 11N
SD_5,,606945.183,4865289.076,1853.006,2.69,-115.66759250,43.93295403,1853.006,0.092,0.081,0.310,0.123,2.134,m,SINGLE,2023-04-05 16:57:32.4 UTC-06:00,2023-04-05 16:57:34.4 UTC-06:00,21,2.0,,,,,,,,WGS 84 / UTM zone 11N
SD_6,,606941.271,4865291.926,1854.543,2.60,-115.66764066,43.93298025,1854.543,0.095,0.088,0.314,0.129,2.134,m,SINGLE,2023-04-05 16:58:28.3 UTC-06:00,2023-04-05 16:58:30.3 UTC-06:00,21,2.1,,,,,,,,WGS 84 / UTM zone 11N
SD_7,,606938.004,4865294.694,1856.148,2.79 (count 34),-115.66768079,43.93300564,1856.148,0.092,0.086,0.324,0.126,2.134,m,SINGLE,2023-04-05 16:59:18.9 UTC-06:00,2023-04-05 16:59:20.9 UTC-06:00,21,2.1,,,,,,,,WGS 84 / UTM zone 11N
SD_8,,606934.986,4865297.616,1856.325,2.61 (count 42),-115.66771779,43.93303238,1856.325,0.097,0.086,0.332,0.129,2.134,m,SINGLE,2023-04-05 17:00:12.6 UTC-06:00,2023-04-05 17:00:14.6 UTC-06:00,21,2.1,,,,,,,,WGS 84 / UTM zone 11N
SD_9,,606931.598,4865301.728,1856.960,2.64,-115.66775917,43.93306989,1856.960,0.091,0.078,0.321,0.120,2.134,m,SINGLE,2023-04-05 17:00:59.9 UTC-06:00,2023-04-05 17:01:01.9 UTC-06:00,21,2.1,,,,,,,,WGS 84 / UTM zone 11N
SD_10,,606927.442,4865305.607,1857.262,2.76,-115.66781015,43.93310540,1857.262,0.092,0.081,0.360,0.122,2.134,m,SINGLE,2023-04-05 17:01:52.7 UTC-06:00,2023-04-05 17:01:54.7 UTC-06:00,21,2.1,,,,,,,,WGS 84 / UTM zone 11N
SD_11,,606923.358,4865309.751,1856.352,2.78,-115.66786019,43.93314330,1856.352,0.098,0.093,0.422,0.135,2.134,m,SINGLE,2023-04-05 17:03:36.3 UTC-06:00,2023-04-05 17:03:38.3 UTC-06:00,21,2.6,,,,,,,,WGS 84 / UTM zone 11N
